,count,Affiliation
618,1,Dr. Soetomo General Academic Hospital/ Universitas Airlangga
619,1,"University Hospital, Ghent"
620,1,UC Davis School of Medicine
621,1,"University of Turin, Italy"
622,1,Syneos Health
623,1,Lister Hospital
624,1,University of Illinois Chicago
625,1,"Central Hospital, Nancy, France"
626,1,UC Davis
627,1,saskia.oro@aphp.fr
628,1,Kanuni Sultan Suleyman Education and Training Hospital
629,1,Alimentiv Inc.
630,1,"Institute of Oncology of Porto, Portugal"
631,1,Department of Rhumatology in Hanyang University Medical Center
632,1,"Digestive Department of Renji Hospital,Shanghai Jiao Tong University School of Medicine"
633,1,Tomsk NRMC
634,1,Cell therapy center
635,1,General Hospital of Shenyang Military Region
636,1,"Jinnah Burn & Reconstructive Surgery Center, Lahore"
637,1,Hospital Infantil Universitario Niño Jesús
638,1,Stem Cell and Cancer Research Indonesia
639,1,Hospital Nostra Senyora de Meritxell
640,1,Haukeland University Hospital
641,1,Moffitt Cancer Center
642,1,Hanyang University Seoul Hospital
643,1,Kyoto University
644,1,Biosolutions Clinical Research Center
645,1,Faculty
646,1,"Peking University People's Hospital, Peking University Insititute of Hematology"
647,1,Sorrento Therapeutics
648,1,University of Virginia
649,1,Peking University People's Hospital
650,1,"Armed Forces Bone Marrow Transplant Centre, Rawalpindi, Pakistan"
651,1,IOBA-UVA
652,1,Deputy Director
653,1,Institut de Cancérologie Lucien Neuwirth
654,1,Konkuk University Medical Center
655,1,Klinikum Chemnitz
656,1,Helsinki University Central Hospital
657,1,University Medical Center Groningen
658,1,UC Davis Health
659,1,MetroHealth Medical Center
660,1,Kessler Foundation
661,1,Changhai Hospital
662,1,"D.O. Ott Research Institute of Obstetrics, Gynecology, and Reproductology"
663,1,Head of SCARM Institute
664,1,The University of Kansas - Cancer Center
665,1,CIEMAT/CIBERER/IIS.FJD
666,1,"Erasmus MC, Rotterdam, the Netherlands"
667,1,Hebei Medical University
668,1,"Head of the Laboratory for Immunology and Cellular Biotechnology, The Republican Research and Practical Center for Epidemiology and Microbiology"
669,1,The head doctor of The Kyiv City Clinical Hospital №2
670,1,"Intermountain Health Care, Inc."
671,1,Niigata University Medical & Dental Hospital
672,1,Stemform
673,1,PAREXEL Early Phase Clinical Unit Baltimore
674,1,Princess Margaret Cancer Centr
675,1,"University Hospital, Lille"
676,1,Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (IRST)
677,1,"UNM Health Sciences Center, Dept of Orthopaedic Surgery"
678,1,The Ottawa Hospital Research Institute
679,1,"MD, PhD, Associate Professor"
680,1,Vinmec Healthcare System
681,1,"Christian-Albrechts-Universität zu Kiel, Klinik für Innere Medizin III Kardiologie, Angiologie und internistische Intensivmedizin, Kiel, Germany"
682,1,Mashhad University of Medical Sciences
683,1,UAM
684,1,The Affiliated Hospital of Xuzhou Medical University
685,1,"Mayo Clinic, Rochester, MN"
686,1,UCL
687,1,"Baggiovara Hospital, Vascular Surgery department"
688,1,"Klinik und Poliklinik für Dermatologie, Venerologie und Allergologie, Würzburg, Germany"
689,1,"Division of Pulmonary and Critical Care Medicine, Department of Internal Medicine, Taipei Tzu Chi Hospital"
690,1,"Institute of Cancer Research, United Kingdom"
691,1,Sidney Kimmel Cancer Center at Thomas Jefferson University
692,1,"LIMITED LIABILITY COMPANY ""A.A. PARTNERS"" (Medical company ilaya® ),"
693,1,"Medical Center for Digestive Diseases, The Second Affiliated Hospital of Nanjing Medical University"
694,1,"Medical Director, McConnell Heart Health Center"
695,1,"Jinling Hospital, Medical School of Nanjing University"
696,1,"University College, London"
697,1,Universidad Autónoma de Bucaramanga
698,1,National Institute of Allergy and Infectious Diseases (NIAID)
699,1,Optica General
700,1,"1st Chair and Department of Cardiology, Medical University of Warsaw"
701,1,Full Professor
702,1,Universidad del Desarrollo
703,1,"Service de Réanimation Médicale, Hôpital Central, 54035, Nancy Cedex"
704,1,Hospital Clinic
705,1,"Children's Medical Hospital, Tehran University of Medical Sciences"
706,1,Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University
707,1,Navy General Hosiptal
708,1,"University Hospital Grenoble-Alpes, France"
709,1,"Richard L. Roudebush VA Medical Center, Indianapolis, IN"
710,1,Stemedica Cell Technologies
711,1,"Medizinische Klinik und Poliklinik I, Universitätsklinikum, TU Dresden"
712,1,"University Hospital Tuebingen, Germany; Dept. for Pediatric Gastroenterology and Hepatology"
713,1,The Second Affiliated Hospital of Fujian Medical University
714,1,Boston Children's Hospital
715,1,Zhujiang Hospital
716,1,"Retired, Dept. of Preventive Dentistry, Periodontology and Implant Biology, School of Dentistry, Aristotle University of Thessaloniki"
717,1,"General Hospital Znojmo, Czech Republic"
718,1,ISCI / University of Miami / Division of Pulmonary
719,1,KLE Society's Institute of Dental Sciences
720,1,Belfast Health and Social Care Trust
721,1,"Inselspital, Bern University Hospital, Freiburgstr. 4, 3010 Bern, Switzerland"
722,1,State Key Laboratory of Stem Cell and Reproductive Biology
723,1,"University Hospital, Bordeaux"
724,1,Affiliated Hospital of Jiangsu University
725,1,"Merck KGaA, Darmstadt, Germany"
726,1,"Sentien Biotechnologies, Inc."
727,1,Hospital de Neurorehabilitació Institut Guttmann
728,1,University of Birmingham
729,1,Hospital e Maternidade Dr Christovao da Gama
730,1,Grenoble Hospital University
731,1,Centre Leon Berard
732,1,"Seoul St.Mary's hospital, The Catholic university of Korea"
733,1,Shanghai 10th People's Hospital
734,1,1954
735,1,Nova Scotia Health Authority
736,1,Shanghai Jiao Tong University Affiliated Sixth People's Hospital
737,1,Istituto Ortopedico Rizzoli
738,1,Melitus Ltd
739,1,"Department of Ophthalmology, Rigshospitalet-Glostrup, University of Copenhagen"
740,1,"Department of Otolaryngology, Rigshospitalet, Copenhagen, Denmark"
741,1,"Department of Otolaryngology, Rigshospitalet, University Hospital of Copenhagen"
742,1,The University of Kansas Medical Center
743,1,"Medical University of Warsaw, Department of Diabetology and Internal Diseases"
744,1,"Med. Fakultät Mannheim der Universität Heidelberg, II. Med. Klinik, Germany"
745,1,Center of Integrative Biology
746,1,Hospital Ampang
747,1,"Hospital for Special Surgery, New York"
748,1,Wuhan TongJi Hospital
749,1,"Bioinova, s.r.o."
750,1,University of Utah
751,1,Assistant Professor of Medicine
752,1,Henan Provincial People's Hospital
753,1,"Institut del Cor, HUGTiP, IGTP"
754,1,Centre Hospitalier Universitaire de Liege
755,1,Universidad de Chile Clinical Hospital
756,1,"Istituto Clinico Humanitas, Rozzano, Italy"
757,1,Changhai houspital
758,1,Providence Cancer Institute
759,1,Centogene GmbH
760,1,Assiut University- Faculty of Medicine- Clinical Pathology dept.
761,1,"Royan Institute, ACECR, Tehran, I.R. Iran"
762,1,MRC/UVRI and LSHTM Uganda Resae
763,1,"Ever Supreme Bio Technology Co., Ltd."
764,1,CHU SAINT-ETIENNE
765,1,Ithaca College
766,1,Lawson Health Research Institute
767,1,Chinese Academy of Medical Science and Blood Disease Hospital
768,1,"San Francisco VA Medical Center, San Francisco, CA"
769,1,Centre Oscar Lambret
770,1,"Northern Alberta Urology Centre, University of Alberta"
771,1,"Bangladesh Laser and Cell Surgery Institute and Hospital, Dhaka, Bangladesh."
772,1,Universidade Federal do Rio de Janeiro
773,1,Universitas Diponegoro
774,1,Professor School of Medicine
775,1,"Tehran University of Medical Sciences, Children's Medical Center"
776,1,University of Southern California
777,1,Hospices Civils de Lyon
778,1,Censo Biotechnologies Ltd
779,1,GHICL
780,1,External
781,1,The Affiliated Drum Tower Hospital of Nanjing University Medical School
782,1,"assist.prof.Željka Večerić-Haler, MDPhD"
783,1,University of South-Eastern Norway
784,1,"S. Orsola-Malpighi Hospital, Department of Medical and Surgical Sciences (DIMEC), University of Bologna, Bologna"
785,1,Rejuva Medical Aesthetics
786,1,Hebei Chemical & Pharmaceutical College
787,1,"University of Minnesota, Masonic Cancer Center and Medical Center"
788,1,Jinan Hospital for Infectious Diseases
789,1,Steno Diabetes Center Copenhagen
790,1,Duke University Medical Center: Transplantation
791,1,Houston Methodist Physicians Organization
792,1,NUIG
793,1,Centro Médico Teknon
794,1,Tianjin Medical University Eye Hospital
795,1,National Marrow Donor Program
796,1,The 3rd affiliated hospital of Sun Yat-sen University
797,1,Parkway Cancer Centre
798,1,Montpellier University Hospitals
799,1,Assiut University
800,1,Royal Papworth Hospital
801,1,CSL Behring
802,1,Instituto de Investigación Sanitaria Fundación Jiménez Díaz
803,1,Sir Run Run Shaw Hospital
804,1,Ohio State University Comprehensive Cancer Center
805,1,Karolinska University Hospital
806,1,Accurate Clinical Research
807,1,"Guangzhou, Guangdong,China，511442"
808,1,USK Wrocław
809,1,Dankook University
810,1,"Cardiovascular Clinical Research Facility, University of Oxford"
811,1,"University Hospital Río Hortega, Valladolid, Spain,"
812,1,"The Heart Centre, Rigshospitalet, University of Copenhagen"
813,1,Chiledren's Hospital of Fudan University
814,1,South Ural State Medical University
815,1,"Professor of Oral Medicine, Periodontology and Oral Diagnosis, Faculty of Dentistry, Ain Shams University"
816,1,Seattle Cancer Care Alliance--University of Washington
817,0,
