,count,Interventions
392,1,Biological: Autologous adipose stem cell therapy|Drug: Mecobalamin
393,1,Biological: neural progenitor cell|Biological: Paracrine factors|Biological: progenitor cell and paracrine factors
394,1,Biological: ReJoinTM|Drug: Sodium Hyaluronate
395,1,Biological: Adipose derived mesenchymal stem cell
396,1,Biological: Allogenic mesenchymal stem cells|Other: Placebo
397,1,Drug: MSC Fistula Plug
398,1,Biological: Mesenchymal Stem Cells (MSCs)
399,1,Procedure: Endometrial fluid collection
400,1,Biological: Cartistem(TM)|Biological: hyaluronic acid|Procedure: ACL reconstruction only
401,1,Biological: APZ2 application
402,1,Biological: BQ-A Peptide Extract|Biological: Mesenchymal Stem Cells|Device: Transcranial Laser Therapy|Device: Median Nerve Stimulator
403,1,Procedure: BFPSC+FDBA+PRF|Procedure: FDBA+PRF
404,1,Procedure: BFPSCs+ DFDBA+ PRF|Procedure: DFDBA + PRF
405,1,Biological: HUC-MSCs|Biological: Injectable Collagen Scaffold + HUC-MSCs
406,1,Drug: Somatostatin|Drug: Glucagon
407,1,Other: mesenchymal stem cell
408,1,Drug: BCP with autologous mesenchymal stem cells (MSC).
409,1,Biological: Application of autologous mesenchymal stem cells
410,1,Biological: mesenchymal stem cells|Biological: saline
411,1,"Biological: GL-ONC1 alone, or in combination with chemotherapy with or without bevacizumab"
412,1,Procedure: umbilical cord mesenchymal stem cell
413,1,Procedure: Stereotactic Hematoma Evacuation|Biological: MSCs Transplantation|Biological: Injectable Collagen Scaffold with MSCs Transplantation
414,1,Biological: mesenchymal stem cells|Drug: conventional treatment
415,1,Procedure: skin punch biopsy
416,1,Biological: umbilical cord mesenchymal stem cells|Device: Hyaluronic acid
417,1,Biological: Conventional therapy|Biological: Injectable Collagen Scaffold + HUC-MSCs
418,1,Procedure: Human biological samples
419,1,Biological: hUC-MSC + DMARDs|Drug: DMARDs
420,1,Drug: Vandetanib
421,1,"Drug: Viagenpumatucel-L|Drug: Metronomic Cyclophosphamide|Drug: Physician's Choice Regimen (Vinorelbine, Erlotinib, Gemcitabine, Paclitaxel, Docetaxel, Pemetrexed)"
422,1,Biological: Cellular therapy|Biological: cellular therapy
423,1,Other: Autologous bone marrow mesenchymal stem cells (MSV)
424,1,Biological: Mesenchymal Injection
425,1,Biological: ucMSCs|Other: Normal saline
426,1,Biological: cell and RPR injection
427,1,Drug: high dose of MSC|Drug: low dose of MSC treatment
428,1,Biological: umbilical cord mesenchymal stem cells|Drug: Standard Therapy
429,1,Drug: Conventional plus MSC treatment|Drug: Conventional plus pacebo treatment
430,1,Drug: conventional plus MSC treatment|Drug: conventional plus placebo treatment
431,1,Other: Conventional treatment plus intravenous infusion of allogenic mesenchymal stem cells from adipose tissue.
432,1,Biological: umbilical cord Mesenchymal Stem Cells|Drug: Conserved therapy
433,1,Other: Autologous MSC knee implantation
434,1,Drug: Conserved Therapy|Procedure: Hepatic artery infusion or Intravenous infusion
435,1,Drug: adult human mesenchymal stem cells
436,1,Drug: Fludarabine|Drug: Cyclophosphamide|Biological: IL-12 transduced TIL
437,1,Drug: Autologous adipose derived mesenchymal stem cells
438,1,Biological: LZRSE-Col7A1 Engineered Autologous Epidermal Sheets
439,1,Procedure: Transplantation of nanoparticles|Procedure: Transplantation of iron-bearing nanoparticles|Device: Stenting
440,1,Other: Autologous Adipose Derived Mesenchymal Stem Cells
441,1,Biological: Mesenchymal stromal cell infusion
442,1,Other: Human umbilical cord-derived MSCs and cyclosporin A|Other: cyclosporin A
443,1,Other: MSC
444,1,Biological: Autologous bone marrow-derived mesenchymal stem cells.
445,1,Drug: Mesenchymal stromal cells (MSC) for infusion
446,1,Biological: MSC-NTF cells transplantation (IM)|Biological: MSC-NTF cells transplantation (IT)
447,1,Other: Autologous mesenchymal stem cells from adipose tissue.
448,1,Biological: tissue repair cells (TRC)|Biological: bone marrow stem cells (BMC)
449,1,Genetic: Mesenchymal stem cells
450,1,Drug: Certican®|Drug: Neoral|Drug: Myfortic|Drug: Simulect®|Drug: Corticosteroids
451,1,Procedure: Allogeneic stem cell transplant|Biological: Anti-CD19-chimeric-antigen-receptor-transduced T cells|Procedure: Leukapheresis
452,1,Biological: Auto-hMSCs|Biological: Allo-hMSCs
453,1,Biological: MSB-CAR001 Combined With Hyaluronan|Drug: Hyaluronan
454,1,Biological: Ex vivo cultured adult allogenic MSCs|Other: Plasmalyte-A
455,1,Procedure: Transplantation of Bone Marrow Stem Cells Activated in Knee Arthrosis
456,1,Other: cord blood transplantation
457,1,Drug: N-acetylcysteine
458,1,Other: Human umbilical cord-derived MSCs|Other: cyclosporine A (CsA)
459,1,Biological: autologous bone marrow mononuclear cells and umbilical cord mesenchymal stem cells
460,1,"Procedure: Localization, curettage of the fistulous tract and closure of the internal opening without MSC injection.|Procedure: Localization, curettage of the fistulous tract and closure of the internal opening with local MSC injection."
461,1,Biological: Autologous transplantation
462,1,Other: Autologous mesenchymal stem cells
463,1,Biological: Dex2
464,1,Biological: Single Dose MPCs Injection|Procedure: Single injection of saline solution|Procedure: Single injection of hyaluronic acid
465,1,Genetic: intracoronary human umbilical WJ-MSC transfer
466,1,Dietary Supplement: curcumin|Dietary Supplement: Curcumin conjugated with plant exosomes|Other: No intervention
467,1,Device: the Sepax is a tool to standardize adult stem cell. Ignite ®ICS injectable scaffold manufactured by Wright Medical Technology.
468,1,Drug: Mesenchymal stem cell|Drug: Control group
469,1,Biological: Autologous hMSCs|Biological: Allogeneic hMSCs
470,1,Procedure: rehabilitation of limb function|Procedure: Stem Cells Transplantation
471,1,Procedure: PCI and Stem Cells or Placebo injections
472,1,Other: Implantation of autologous cells
473,1,Procedure: Subtalar Arthrodesis
474,1,Biological: Human umbilical cord-derived MSCs
475,1,Biological: Mesenchymal Stem Cells|Other: Culture medium without MSC.
476,1,Other: Stenting and micro-infusion of NP|Device: Implantation of everolimus-eluting stent
477,1,Other: Placental MSC
478,1,Biological: Biological: mesenchymal stem cell|Drug: ursodeoxycholic acid
479,1,Drug: PF-02341066/PF-00299804
480,1,Biological: MPC Intramyocardial injection|Biological: Control Solution
481,1,Biological: human umbilical cord mesenchymal stem cells|Biological: human cord blood mononuclear cells and human umbilical cord mesenchymal stem cells|Drug: Conventional therapy
482,1,Biological: MSC|Biological: Saline
483,1,Biological: Cell injection
484,1,Biological: Mononuclear and mesenchymal stem cells|Biological: Mononuclear cells
485,1,Drug: Hyaluronic Acid|Biological: Autologous bone marrow-derived mesenchymal stem cells
486,1,Biological: MSV treatment
487,1,Genetic: allogeneic mesenchymal stem cell transplantation
488,1,Biological: Allogeneic adult mesenchymal bone marrow stem cells
489,1,Biological: Intravenous Mesenchymal stem cell infusion
490,1,Biological: Intravenous bone marrow mesenchymal stem cells infusion
491,1,Drug: GLP-1 CellBeads
492,1,Other: total knee / hip replacement
493,1,Biological: RNL-Vascostem®
494,1,Biological: autologous bone marrow derived mesenchymal stromal cells
495,1,Biological: Autologous cultured adipose derived stem cells(low dose group)|Biological: Autologous cultured adipose derived stem cells(high dose group)
496,1,Procedure: Autologous Hematopoietic Stem Cell Transplantation|Biological: Filgrastim|Biological: Genetically Engineered Lymphocyte Therapy|Other: Laboratory Biomarker Analysis|Procedure: Peripheral Blood Stem Cell Transplantation|Drug: Plerixafor|Biological: Rituximab
497,1,Drug: Homeo-GH
498,1,Other: Group 1|Other: Group 2|Other: Group 3
499,1,Biological: intravenous injection of mesenchymal stem cells|Biological: injection of cell free media
500,1,Procedure: Stem Cell Transplantation
501,1,Procedure: Bone Marrow Aspiration|Biological: Filgrastim|Biological: Genetically Engineered Hematopoietic Stem Progenitor Cells|Other: Laboratory Biomarker Analysis|Procedure: Leukapheresis|Drug: Methylprednisolone|Drug: Plerixafor|Drug: Prednisone
502,1,Biological: conventional therapy plus low dose hUC-MSCs treatment|Biological: conventional therapy plus medium dose hUC-MSCs treatment|Biological: conventional therapy plus high dose hUC-MSCs treatment
503,1,Drug: NY-ESO-1(c259)T Cells|Drug: Fludarabine|Drug: Cyclophosphamide
504,1,Biological: human cord blood mononuclear cells|Biological: human cord blood mononuclear cells and human umbilical cord mesenchymal stem cells
505,1,Drug: Metformin
506,1,Biological: PTA + Infusion of MSC_Apceth|Procedure: PTA
507,1,Biological: Umbilical mesenchymal stem cell (UC-MSCs) infusion|Drug: traditional therapy
508,1,Biological: Mesenchymal stem cells|Other: Isotonic solution
509,1,Biological: Cartistem|Procedure: Microfracture treatment
510,1,Drug: GSK1070806
511,1,Procedure: Cellular transplantation
512,1,Procedure: Coronary bypass operation|Procedure: Bone marrow aspiration (crista iliaca)|Biological: Intramyocardial mesenchymal stem cell transplantation|Biological: Intramyocardial injection of autologous serum
513,1,Procedure: injection of progenitor of hepatocyte drived from Mesenchymal stem cell
514,1,Procedure: Mesenchymal stem cell (MSC)
515,1,Drug: Cyclophosphamide|Other: Laboratory Biomarker Analysis|Biological: Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter|Other: Pharmacological Study
516,1,Genetic: IE gene
517,1,Procedure: Autologous mesenchymal stem cell transplantation
518,1,Procedure: Cord Blood Infusion|Drug: Busulfan|Drug: Fludarabine|Drug: Rituximab|Other: ATG|Drug: Cyclophosphamide|Drug: Clofarabine|Radiation: Total Body Irradiation (TBI)|Drug: Melphalan|Drug: Tacrolimus|Drug: Mycophenolate Mofetil|Drug: G-CSF
519,1,Procedure: Osteosynthesis
520,1,Drug: Fentanyl sublingual spray|Drug: Placebo
521,1,Procedure: MSC Treatment
522,1,Drug: Placebo|Drug: PROCHYMAL adult human mesenchymal stem cells
523,1,Genetic: Allogeneic Mesenchymal Precursor Cells (MPCs)|Procedure: Standard-of-care treatment with NOGA® mapping and staged injections.
524,1,Procedure: Chirurgical procedure
525,1,Drug: Prochymal®|Other: Placebo|Other: Corticosteroid
526,1,Biological: Lower dose mesenchymal stem cell (MSC) injection|Genetic: Placebo|Biological: Higher dose MSC injection
527,1,Biological: therapeutic autologous lymphocytes|Drug: cyclophosphamide|Biological: aldesleukin|Genetic: polymerase chain reaction|Genetic: gene rearrangement analysis|Procedure: lymph node biopsy|Biological: genetically engineered lymphocyte therapy|Procedure: bone marrow aspiration|Other: flow cytometry|Other: laboratory biomarker analysis|Other: enzyme-linked immunosorbent assay
528,1,Procedure: Intracoronary infusion of autologous bone marrow cells
529,1,Biological: Mesenchymal stromal cell|Biological: Saline
530,1,Biological: carcinoembryonic antigen-expressing measles virus|Biological: oncolytic measles virus encoding thyroidal sodium iodide symporter|Genetic: reverse transcriptase-polymerase chain reaction|Other: laboratory biomarker analysis
531,1,Biological: Mesenchymal Stem Cells|Biological: placebo|Drug: Standard of Care for GVHD
532,1,Procedure: Kidney transplantation with MSCs infusion|Procedure: kidney transplantation without MSC infusion
533,1,Biological: Marrow stromal cell infusion
534,1,Biological: dactinomycin|Biological: filgrastim|Drug: carboplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: epirubicin hydrochloride|Drug: etoposide|Drug: ifosfamide|Drug: vincristine sulfate|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy
535,1,"Drug: G207, an oncolytic virus"
536,1,Biological: autologous expanded mesenchymal stem cells OTI-010|Drug: busulfan|Drug: cyclophosphamide|Drug: cyclosporine|Drug: methotrexate|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy
537,1,Biological: allogeneic GM-CSF-secreting breast cancer vaccine|Biological: recombinant interferon alfa|Drug: cyclophosphamide
538,1,Drug: TP-38
539,1,Biological: Provacel|Biological: Placebo
540,1,Drug: Prochymal - 2 million cells|Drug: Prochymal - 8 million cells
541,1,Drug: G207
542,1,Biological: Bone marrow transplant
543,1,Biological: graft versus host disease prophylaxis/therapy|Genetic: fluorescence in situ hybridization|Other: immunoenzyme technique|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis|Procedure: in vitro-treated bone marrow transplantation|Procedure: management of therapy complications
544,1,Procedure: surgical operation of cell transplantation
545,1,Drug: Mesenchymal Stem Cells|Drug: Hyaluronan
546,1,Procedure: autologous mesenchymal stem cells implantation
547,1,Biological: stem cell
548,1,Drug: Prochymal (TM)
549,1,Drug: Prochymal™ adult human mesenchymal stem cells|Drug: adult human mesenchymal stem cells
550,1,Drug: Rituximab plus immunosuppression|Drug: Placebo plus immunosuppression
551,1,Drug: Mesenchymal Stem Cell Infusion
552,1,Biological: cotransplantation of islet and mesenchymal stem cell
553,1,Drug: Prochymal™|Drug: Placebo
554,1,Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Anti-thymocyte globulin|Drug: Cyclosporine A|Drug: Mycophenolate mofetil|Procedure: Mesenchymal stem cell transplantation|Radiation: Total body irradiation|Procedure: Bone marrow or umbilical cord blood (UCG) stem cell transplantation
555,1,Biological: Mesenchymal Precursor cells (RevascorTM)|Drug: Cryoprotective media alone
556,1,Drug: Dacogen™ (decitabine)|Drug: Vectibix® (panitumumab)
557,1,Drug: Stem cell|Drug: Plasmalyte A
558,1,Drug: mesenchymal stem cells|Drug: Plasmalyte A
559,1,Procedure: stem cells|Procedure: Chondrocytes|Other: Rehabilitation program
560,1,Procedure: Bone Marrow Aspiration|Procedure: Bone marrow mesenchymal stem cell implantation
561,1,Biological: autologous bone marrow mononuclear cell transfusion|Biological: marrow stromal cells|Drug: placebo
562,1,Biological: autologous mesenchymal stem cells|Biological: normal saline
563,1,Biological: PLX-PAD IM injection
564,1,Drug: Telbivudine|Biological: engineered HB vaccine
565,1,Biological: Trinity multipotent stem cells|Biological: Demineralized bone matrix(DBM)
566,1,Procedure: Biopsy
567,1,Biological: Symptoms and Objective Examination
568,1,Procedure: Bone marrow transplantation|Biological: Mesenchymal Stromal Cells
569,1,Biological: Mesenchymal stem cell (MSC)|Drug: Prednisone and cyclosporine or primary therapies
570,1,Procedure: Hepatic artery infusion|Procedure: Conserved Therapy
571,1,Procedure: Autologous Bone marrow derived stem cells transplant
572,1,Biological: Trinity Evolution
573,1,Procedure: Autologous BMSCs transplantation|Drug: Conserved therapy
574,1,Genetic: Autologous mesenchymal stem cells
575,1,Biological: Bone marrow derived mesenchymal stem cells
576,1,Drug: PROCHYMAL®|Drug: Placebo
577,1,Biological: Injection of autologous bone marrow derived mesenchymal stem cells
578,1,Biological: Allogeneic MSC (AlloMSC)
579,1,Drug: Chondrogen|Drug: Placebo
580,1,"Other: Bone Marrow Cell Transplantation|Radiation: Irradiation, Total Body|Drug: Cyclophosphamide|Drug: Cyclosporin|Procedure: Mesenchymal Stem Cell Transplantation|Drug: Busulfan"
581,1,Biological: Mesenchymal Precursor Cells (MPCs)|Procedure: standard-of-care treatment with mock mapping and injection procedures.
582,1,Procedure: MSC transplantation
583,1,"Biological: Mesenchymal stem cells infusion, Basiliximab,Methylprednisolone,RATG ,Cyclosporine ,Mycophenolate mofetil|Drug: Basiliximab, Methylprednisolone,RATG,Cyclosporine,Mycophenolate mofetil"
584,1,Biological: remestemcel-L
585,1,Biological: Autologous human mesenchymal cells (hMSCs)|Biological: Autologous human bone marrow cells (hBMCs)|Biological: Placebo
586,1,Drug: iodine I 131 metaiodobenzylguanidine|Drug: Fludarabine|Drug: Thiotepa|Procedure: T-cell depletion|Procedure: Haploidentical stem cell transplantation|Procedure: Donor Lymphocyte Infusion|Drug: Rituximab|Procedure: Co-transplantation of mesenchymal stem cells
587,1,Procedure: harvest of a small bone marrow sample
588,1,Biological: MESENDO|Other: placebo
589,1,Biological: C-Cure
590,1,Biological: mesenchymal stem cell infusion|Biological: bone marrow mononuclear cell infusion
591,1,Biological: Autologous mesenchymal stem cell transplantation
592,1,Procedure: injection of lipoaspirate|Other: control
593,1,Drug: PegLiposomal Doxorubicin|Drug: Carboplatin
594,1,Drug: Prochymal®
595,1,Biological: MSC (hPPL)
596,1,Other: Standard medical care|Biological: Autologous bone marrow-derived mesenchymal stem cells
597,1,Genetic: Autologous BMSCs transplantation|Genetic: Autologous EPCs transplantation|Genetic: IV infusion of placebo
598,1,Drug: Liraglutide|Drug: non-active study drug
599,1,Procedure: core decompression
600,1,Procedure: Bronchoscopy
601,1,Biological: cell therapy|Other: rehabilitation
602,1,Biological: mesenchymal cell transplantation|Biological: placebo
603,1,Biological: mesenchymal cell transplantation|Biological: mesenchymal cell and fibroblast injection
604,1,Drug: Ponatinib
605,1,Biological: Livercellgram
606,1,Procedure: arthroplasty
607,1,Drug: Treatment with NY-ESO-1c259-modified T cells
608,1,Procedure: Bone marrow aspiration
609,1,Procedure: perforated membrane|Procedure: G2
610,1,Biological: Pneumostem®|Biological: normal saline
611,1,Procedure: MSCs injection
612,1,Drug: Allogeneic adipose tissue-derived mesenchymal stem cells
613,1,Biological: Endobronchial infusion of adult mesenchymal stem cells|Biological: Autologous mesenchymal stem cells derived from bone marrow
614,1,Procedure: RB (Retrobulbar)|Procedure: ST (Subtenon)|Procedure: IV (Intravenous)|Procedure: IVIT (Intravitreal)|Procedure: IO (Intraocular)
615,1,Biological: MSC Infusion|Biological: Placebo Comparator
616,1,Other: rehabilitation|Biological: stem cell injection
617,1,Procedure: adipose tissue grafting
618,1,Other: Skin Biopsy
619,1,Biological: Allogenic Mesenchymal Stromal Cells|Drug: Mepivacaine
620,1,Biological: intrathecal administration of autologous MSC-NP
621,1,Procedure: Implantation of bone substitute plus autologous cultured mesenchymal cells
622,1,Drug: ◦Drug: ASCs. + fibrin glue|Drug: fibrin glue
623,1,Drug: Adipose-derived expanded stem cells
624,1,Biological: Mesenchymal stem cells low-dose group|Biological: Mesenchymal stem cells mid-dose group|Biological: Mesenchymal stem cells high-dose group
625,1,Drug: Curcumin|Behavioral: aerobic yoga|Behavioral: non aerobic yoga|Dietary Supplement: Placebo
626,1,Other: Intramuscular injection of a suspension of adult mesenchymal stem cells derived
627,1,Biological: stem cell therapy
628,1,Biological: Pneumostem®|Other: Normal Saline
629,1,Drug: Arterial infusion of autologous mesenchymal stem cells
630,1,Biological: Mesenchymal Precursor Cells (MPCs)
631,1,Biological: ALLO-ASC(allogeneic adipose derived mesenchymal stem cell) injection
632,1,Genetic: Conventional plus BM-MSC treatment|Genetic: Conventional plus UC-MSC treatment|Drug: Conventional treatment
633,1,Biological: CELYVIR
634,1,Other: Laboratory Biomarker Analysis|Biological: Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter
635,1,Biological: Mesenchymal stem cells|Other: Reference therapy: 400 mL of 0.9% NaCl solution
636,1,Genetic: Mesenchymal stromal cells|Drug: Standard therapy of septic shock
637,1,Biological: bone marrow-derived mesenchymal stem cells|Drug: Placebo
638,1,Drug: Allogeneic Mesenchymal Precursor Cells|Drug: Normal Saline
639,1,Biological: autologous bone marrow mesenchymal stem cells transplantation|Biological: autologous bone marrow msenchymal stem cells transplantation
640,1,Procedure: maxillary alveolar graft by tissue engineering|Procedure: Bone tissue engineering using mesenchymal stem cells
641,1,Genetic: iPSC
642,1,Other: injection the mesenchymal stem cell in non union site
643,1,Biological: Cultured autologous Mesenchymal Cells
644,1,Biological: Bone marrow autologous mesenchymal stem cells transplantation
645,1,Other: Cartilage repair surgery
646,1,"Biological: Implantation of autologous mesenchymal stem cells (CSM) expanded ""in vitro"" and administered directly into the lung suture line"
647,1,Drug: Regorafenib|Drug: Placebo
648,1,Biological: autologous mesenchymal stem cell transplantation|Procedure: sham transplantation of mesenchymal stem cells
649,1,Drug: Mesenchymal Stromal Cells
650,1,Biological: M032 (NSC 733972)
651,1,Biological: Stem Cell Preparation and Injection
652,1,Biological: Allogeneic Human Mesenchymal Stem Cells (allo-hMSCs)|Biological: Placebo|Biological: Penicillin/Streptomycin-Free Allogeneic Human Mesenchymal Stem Cells (allo-hMSCs)
653,1,Drug: XCEL-M-ALPHA and standard rehabilitation|Other: Rehabilitation
654,1,Other: Laboratory Biomarker Analysis|Procedure: Mesenchymal Stem Cell Transplantation|Biological: Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter
655,1,Biological: GX-051
656,1,Device: Mesenchymal-marker based ferrofluid (c-MET)|Device: Epithelial cell adhesion molecule (EpCAM) ferrofluid
657,1,Biological: Allogeneic Bone Marrow-Derived Human Mesenchymal Stromal Cells|Biological: Plasma-Lyte A
658,1,"Biological: Sequential infusion of allogeneic mesenchymal stem cells expanded ""in vitro"""
659,1,Biological: Allogeneic (MSC's) Application to the Burn Wounds
660,1,Biological: ARM 1: AdMSC: adipose stem cells|Other: ARM 2: Placebo
661,1,Biological: Anti-GD2-CAR engineered T cells|Drug: AP1903|Drug: Cyclophosphamide
662,1,Procedure: Adipose tissue collection|Biological: Transdermal injection|Procedure: Transdermal injection
663,1,Biological: UMBILICAL CORD DERIVED MESENCHYMAL STROMAL CELLS (UC-MSC)
664,1,Drug: GLP-1|Biological: SC|Other: Standard Medical Treatment
665,1,Other: flow cytometry
666,1,Genetic: Allogenic Mesenchymal Stem Cell
667,1,Other: bone marrow-derived MSCs injection|Other: placebo intervention
668,1,Genetic: surgical treatment of non union with mesenchymal stem cells with BMP2 within a 3-D tissue engineered scaffold
669,1,Procedure: Intraportal islet transplantation|Procedure: Intramuscular islet transplantation|Procedure: Intramuscular transpl with stemcells|Procedure: Kidney transplantation
670,1,Biological: aMSC|Biological: aMSC+hyaluronan gel
671,1,Biological: Allogeneic Human Mesenchymal Stem Cells
672,1,Procedure: ACIC|Procedure: MCIC|Device: implant with a collagen + fibrin gel mixture
673,1,Biological: Mesenchymal stem cell suspension|Biological: PRP
674,1,Biological: HS-410|Biological: Placebo|Biological: BCG
675,1,Biological: Allogeneic Mesenchymal Precursor Cells (MPCs)|Other: Sham Comparator
676,1,Biological: Allogeneic hMSCs
677,1,Biological: Allogeneic Adult Human Mesenchymal Stem Cells (hMSCs)|Biological: matched placebo
678,1,Drug: rQNestin|Drug: Cyclophosphamide|Procedure: Stereotactic biopsy
679,1,Drug: autologous bone marrow derived stem cells
680,1,Biological: Autologous MSC-NTF cells|Biological: Placebo
681,1,Device: Near infrared (NIR) emissive nanotechnology
682,1,Biological: PNEUMOSTEM
683,1,Device: Mesenchymal-marker based ferrofluid (N-cadherin or O-cadherin based)
684,1,Drug: PLX-PAD
685,1,Drug: Liraglutide|Drug: Sitagliptin
686,1,Biological: conventional therapy plus MenSC transplantation|Drug: Conventional therapy plus placebo treatment
687,1,Biological: CARTISTEM|Procedure: Microfracture
688,1,Other: Allogenic mesenchymal stromal cells injection|Drug: Hyaluronic Acid
689,1,Biological: Dose 1|Biological: Dose 2|Biological: Dose 3|Biological: Dose 4
690,1,Biological: AC607|Biological: Vehicle Only
691,1,Biological: bone allogaft with bone marrow concentrate
692,1,Biological: Autologous adipose derived stem cells(low dose group)|Biological: Autologous adipose derived stem cells(high dose group)
693,1,Other: Ex vivo expanded cord blood cells
694,1,Drug: autologous adipose tissue derived mesenchymal stem cells
695,1,Drug: stem cells + hydroxy apatite|Other: autograft taken from iliac crest
696,1,Biological: PA401|Other: Placebo
697,1,Drug: Mesenchymal Precursor Cells (MPCs)
698,1,Biological: Pneumostem®
699,1,Genetic: Genetically modified T cells # 1138
700,1,Procedure: CLE examination for upper gastrointestinal tract
701,1,Biological: Allogeneic adult adipose-derived mesenchymal stem cells
702,1,Biological: autologous adipose-derived mesenchymal stem cells
703,1,Biological: Hearticellgram-AMI
704,1,Genetic: Stem cells|Genetic: Placebo
705,1,"Dietary Supplement: Grape extract|Drug: Lortab, Fentanyl patch, mouthwash"
706,1,Biological: Autologous adipose derived stem cells administrated for intra-articular use
707,1,Biological: mesenchymal stem cells|Biological: Conventional therapy
708,1,Drug: Allogenic mesenchymal stem cells from adipose tissue|Drug: Placebo
709,1,Drug: 68Ga-DOTATATE
710,1,Other: stem cell transplantation
711,1,Procedure: stem cell transplantation
712,1,Biological: MenSCs transplantation|Drug: exogenous indulin injection daily
713,1,Biological: stem cell injection
714,1,Genetic: autologous mesenchymal stem cell transplantation
715,1,Biological: mesenchymal stem cell|Biological: Placebo
716,1,Procedure: Instrumented posterolateral arthrodesis
717,1,Drug: Nesiritide (BNP)|Drug: Placebo
718,1,Biological: Biological: mesenchymal stem cell|Drug: Cyclosporine and Glucocorticoid
719,1,Procedure: Stem Cell with Amniotic Membrane Transplant
720,1,Other: BM-MSC
721,1,Procedure: Cellularized composite graft augmentation|Procedure: Acellular composite graft augmentation
722,1,Biological: Human Umbilical Cord derived MSCs|Drug: Cyclophosphamide
723,1,Other: Cx601|Other: Saline solution
724,1,Procedure: core decompression with autologous bone marrow implantation|Procedure: core decompression of the femoral head
725,1,Biological: Umbilical Cord-Derived Mesenchymal Stem Cells (UC-MSCs)|Drug: Rheumatoid Arthritis With Disease-Modifying Drugs (DMARDs)|Biological: UC-MSC+DMARDS
726,1,Drug: Adipose-derived stem cells without expanded
727,1,Biological: Administration of ERC
728,1,Drug: cellgram-spine
729,1,Biological: ABMD-MSC
730,1,Other: Placebo|Biological: Mesenchymal Precursor Cells (MPC) 12.5 M|Biological: Mesenchymal Precursor Cells (MPC) 25 M
731,1,Biological: intra venous injection of stem cell
732,1,Other: Mesenchymal stem cells from adipose tissue
733,1,Other: Bone marrow mesenchymal stem cells autologous|Other: Placebo comparator
734,1,Genetic: Stem Cell
735,1,Procedure: Intramyocardial implantation of of a novel mesenchymal precursor cell type (iMP).
736,1,Drug: Cabozantinib
737,1,Biological: Autologous MSCs transplantation
738,1,Biological: Allogeneic stem cells implantation
739,1,Biological: Intraventricular injection
740,1,Biological: mesenchymal stem cell transplantation|Other: control|Biological: MNC's TRANSPLANTATION
741,1,Procedure: Repair of cranial defects by tissue engineering
742,1,Biological: Mesenchymal stem cells|Biological: Mesenchymal stem cells and cord blood
743,1,Genetic: Mesenchymal stromal cells
744,1,"Biological: Injection of C3BS-CQR-1|Biological: Sham, no injection"
745,1,Biological: intrathecal injection
746,1,Biological: Allogeneic Mesenchymal Bone Marrow Cells
747,1,Genetic: centrifuged fat graft|Genetic: ADSCs enriched fat graft
748,1,Biological: Allogeneic Bone Marrow-Derived Human Mesenchymal Stem Cells
749,1,"Biological: MSC_NTF cells transplantation by multiple intramuscular injections at 24 separate sites, in addition to a single intrathechal injection into the CSF"
750,1,Biological: human umbilical cord mesenchymal stem cells|Biological: hUCMSCs and hCBMNCs|Biological: human cord blood mononuclear cells|Drug: Hormone Replacement Therapy
751,1,Biological: human umbilical cord derived MSC transplantation for SLE
752,1,Biological: Mesenchymal Stem Cells (MSCs)|Biological: OrthADAPT
753,1,Drug: infusion of BMMSCs|Drug: infusion BMMNCs|Drug: insulin
754,1,Drug: Conventional plus UC-MSC|Drug: Conventional plus placebo
755,1,Procedure: Autologous Mesenchymal Stem Cells
756,1,Biological: NEUROSTEM®-AD
757,1,Drug: Rilotumumab|Other: Placebo|Drug: Epirubicin|Drug: Cisplatin|Drug: Capecitabine
758,1,Procedure: bone marrow aspirate
759,1,"Biological: MSC|Drug: ""celecoxib"", ""Celebrex®"""
760,1,Genetic: intracerebral stem cell transplantation
761,1,Other: Mesenchymal stem cell
762,1,Other: BM-MSCs
763,1,Biological: mesenchymal stem cell injection
764,1,Other: Conventional plus UC-MSC treatment|Other: Conventional plus PE treatment|Other: Conventional plus UC-MSC and PE therapy|Other: Conventional treatment
765,1,"Drug: Mesenchymal stem cell, HA-CaSO4, ¬BMP-2, and Implant"
766,1,Other: UC-MSC transplantation|Other: conventional treatment
767,1,Biological: CARTISTEM®
768,1,Other: Skin biopsies
769,1,Biological: anti-CD20-CAR vector-transduced autologous T cells|Other: genetically engineered lymphocyte therapy
770,1,Procedure: Liposuction with Local Anesthesia|Biological: Intra articular infusion of AD-SVF
771,1,Biological: ucMSC|Other: Controls
772,1,Drug: AMG 337
773,1,Procedure: CorneaL epithelial autograft|Device: Femtosecond laser|Procedure: Limbal autograft
774,1,Biological: TBI-1501
