,count,Outcome Measures
183,1,Conduct long term safety evaluations after gene therapy
184,1,Efficacy of C3BS-CQR-1 injection based on a hierarchical composite score
185,1,Proportion of patients responding to treatment of cGvHD with MSC|Overall survival|Progression-free survival|Time without systemic immunosuppression|Cumulative incidents of non-relapse mortality|Adverse events
186,1,ventricular remodeling
187,1,Lack of serious and severe adverse events (SAEs) related to the administration of the investigational medicinal product.|Presence of new type VII collagen at the dermal-epidermal junction post treatment.|Change in general markers of inflammation|Changes in specific markers of inflammation|Change in the clinical changes in the skin assessed with clinical photographs|Differences in quality of life data|Change in BEBSS and EBDASI scores|Change in Pain scores|Change in pruritus score using the Leuven Itch Scale (LIS)|Quantification of total blister numbers over the entire body surface area|10. Increase in the skin strength measured by time to blister formation after negative pressure skin suction test|Qualitative analyses based on a series of interview questions
188,1,Incidence of adverse events by subconjunctival injection of BMMSCs|Incidence of corneal perforation rate after subconjunctival injection of BMMSCs|Time of corneal epithelialization|Visual acuity
189,1,Standard Complication Questionnaire|MS Impact Scale - MSIS-29|Modified SF-36 Cell-Based Therapy Follow Up|Physical Evaluation
190,1,The incidence of adverse events|Child-Pugh score|Serum albumin levels|Serum fibrosis markers|Improvement or disappearance of lower extremity edema|Subjective symptom scores (SF-36)
191,1,Changes in IANR-SCIFRS score are considerate for the motor and sensory functions evaluation.|Neurotrophic factors levels in Cerebrospinal fluid (CSF) and/ or Number of Adverse Events related to treatment|Changes in PENN score are considerate for the motor and sensory functions evaluation|Changes in VAS score are considerate for quantification of pain|Changes in BDS score are considerate for the Assessment of the functional status|Changes in GEFFNER score are considerate for the Assessment of the functional status
192,1,Type and Severity of Adverse Effects (AE) and Adverse Reactions (AR)|Changes in Visual Acuity|Changes in Visual Field|Changes in Optical Coherence Tomography Parameters Related to Glaucoma|Changes in Retinal Ganglion Cells Function by ERG
193,1,Tissue and Hematopoietic Stem Cell Collection|Identify pharmacodynamic markers
194,1,Differential expression of Molecular pathways in tumors inducing oncogenic osteomalacia
195,1,change in cough test & urodynamic study as a measure of efficacy of treatment|Quality of life as measured by the Incontinence Quality of Life (I-QOL) Instrument Score
196,1,Severity of adverse events|Magnetic resonance imaging (MRI) of the knee|Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC)
197,1,"Number of adverse serious unexpected reactions or not, attributable to the treatment (SUSSARs or SAE)|Complications in the place of the infusion|Appearance of a new neurological effect not attributable to the natural progression of this pathology|Changes in the progression of the disease (modifications in the scale of functionality of the ALS)|Changes in the degree of muscular force|Changes in the vital forced capacity|Changes of the muscular mass estimated by Nuclear Magnetic Resonance (NMR) of the upper and low extremities|Changes in neurophysiological parameters and of quality of life|Need and time to tracheotomy or permanent assisted ventilation"
198,1,The incidence of ITBLs|Changes in biliary enzymology|Biliary blood supply
199,1,EDSS|Annual relapse rate|Lesion load|Retinal nerve fiber layer (RNFL)|Cognition|Immunological assessments|cerebral volume
200,1,Arterial stiffness|Biomarkers of renal disease and DNA adducts
201,1,Efficacy assessment of XCEL-MT-OSTEO-ALPHA in non-union fractures by imaging procedures|Safety assessment of XCEL-MT-OSTEO-ALPHA in non-union fractures|Efficacy assessment by quality of life test
202,1,Adverse Events|Change from baseline of weight|Change of muscle diameter (circumferential measurements) from baseline|Change from baseline of Pulmonary Maximum Expiratory Pressure|Change from baseline of Pulmonary Forced Vital Capacity|Maximum Change from baseline of Predicted Inspiratory Pressure %|Change from baseline of Predicted Maximum Expiratory Pressure %|Change from baseline of Predicted Forced Vital Capacity %
203,1,Number of patients with adverse events|Number of subjects with a change in American Spinal Injury Association (ASIA) score from baseline|Number of subjects with a change in Frankel Scale score from baseline
204,1,Number of participants with adverse events|Number of participants with a change in joint function from baseline WOMAC assessment|Number of participants with a change in radiogrpahic evidence of knee OA from baseline Kellegren-Lawrence grading system
205,1,"Safety and Tolerability|Improvement in erectile function, measured i IIEF-5 score"
206,1,Percentage of Participants with Hematopoietic Recovery|Incidence of graft-versus-host disease|Incidence of infections|Incidence of primary underlying disease relapse|Incidence of acute toxicity
207,1,The efficacy of treatment for steroid-resistant aGVHD|Incidence of infections|Incidence of primary underlying disease relapse|Incidence of chronic GVHD
208,1,Number of samples of primary A-T fibroblast samples that can be successfully reprogrammed to iPSCs|Number of samples of patient A-T fibroblasts that can be reprogrammed to iPSCs with and without gene correction|Quantification of the cloning efficiency of primary cells haploinsufficient for ATM relative to healthy controls
209,1,survival rate|acute GVHD|chronic GVHD|Transplant-related mortality|Rates of relapse|The implantation
210,1,Protein and mRNA levels of RING ubiquitin ligases during osteogenesis|Protein and mRNA levels of RING ubiquitin ligases in musculoskeletal tumors and its correlation to staging and grading
211,1,Incidence of adverse reactions|Incidence of opportunist diseases|Changes in CD4+ cell count and CD4+/CD8+ ratio|T CD4 +/µl count evolution and CD4 +/CD8 + ratio throughout 48 weeks
212,1,Number of adverse events|Liver tissue mRNA level of Transferrin receptor CD71 (TFRC) and Hepcidin antimicrobial peptide (HAMP) genes|Circulating naive and memory T cell conts (CD45RA/CD45RO)(flow cytometry analysis)|T-cell function in mixed lymphocyte reaction
213,1,Change in Kidney function|Safety of Mesenchymal stem cell infusion|Decrease in Kidney inflammation
214,1,Overall survival
215,1,unsuspected death or anaphylactic shock|Death or hydrocephalus required shunt operation
216,1,"Composite indicators, including quantitative analysis of CT density histograms, self-evaluation and changes of TGF-β1 content|Safety Evaluation|Clinical Indicator 1: change in blood gas analysis|Clinical Indicator 2: change in pulmonary function analysis|Clinical Indicator 3: 6-minute walk test distance|Clinical Indicator 4: change in MRC chronic dyspnea scale|Clinical Indicator 5: change in St. George's Respiratory Questionnaire (SGRQ) scale|Immunological Indicator in serum 1: T lymphocyte counts in peripheral blood|Immunological Indicator in serum 2: response level of CD4+ T lymphocyte subsets (such as Th1 / Th2)|Immunological Indicator in serum 3: concent of immunoglobulin|Immunological Indicator in serum 4: expression levels of various cytokines (IL-1, IL-3, IL-6, IL-8, TNF-α, GM-CSF, etc)|Immunological Indicator in serum 5: subtype analysis and phagocytic activity analysis of macrophage|Immunological Indicator in serum 6: expression levels of IL-12, IL-10|Immunological Indicator in lavage fluid 1: T lymphocyte counts in peripheral blood|Immunological Indicator in lavage fluid 2: response level of CD4+ T lymphocyte subsets (such as Th1 / Th2)|Immunological Indicator in lavage fluid 3: concent of immunoglobulin|Immunological Indicator in lavage fluid 4: expression levels of various cytokines (IL-1, IL-3, IL-6, IL-8, TNF-α, GM-CSF, etc)|Immunological Indicator in lavage fluid 5: subtype analysis and phagocytic activity analysis of macrophage|Immunological Indicator in lavage fluid 6: expression levels of IL-12, IL-10|Inflammatory Indicators: measured by routine blood test including C-reactive protein (CRP)|Fibrosis Indicators in serum 1: content of transforming growth factor -α/β (TGF-α/TGF-β)|Fibrosis Indicators in serum 2: content of hydroxyproline|Fibrosis Indicators in serum 3: content of matrix metalloproteinase 1/7(MMP1/MMP7)|Fibrosis Indicators in lavage fluid 1: content of transforming growth factor -α/β (TGF-α/TGF-β)|Fibrosis Indicators in lavage fluid 2: content of hydroxyproline|Fibrosis Indicators in lavage fluid 3: content of matrix metalloproteinase 1/7(MMP1/MMP7)"
217,1,"Safety evaluation through vital signs, the results of clinical lab tests and adverse events (AEs)|Improvement of infarct size measured by brain MRI|Modified Barthel index|National Institutes of Health stroke scale(NIHSS) score"
218,1,Duchenne muscular dystrophy gene expression
219,1,Correlation between NF-кB dependent-proinflammation markers and osteoblast-specific gene expression in the MSC to measure the effects of NF-кB dependent-proinflammation on differentiation potential toward osteoblast in type 2 diabetes.|Correlation between NF-кB dependent-proinflammation markers and apoptotic marker expression in the MSC to measure effects of NF-кB dependent-proinflammation on cellular apoptosis in type 2 diabetes.|Correlation between NF-кB dependent-proinflammation markers and the expression of RAGE and its downstream signals in the MSC to measure effects of NF-кB dependent-proinflammation on cellular RAGE activation in type 2 diabetes.
220,1,Angiographic evaluation of angiogenesis at ischemic limb|Ankle-Brachial pressure index|Walking distance|Pain|Laser Doppler evaluation of blood perfusion at ischemic limb
221,1,"Serious Adverse Events|Efficacy measured by: The changes in the requirements of insulin, Peptide C, Resistance to the insulin, inflammatory Cytokines, pancreatic Reservation, Quantification of the degree of neovascularization (angio/arteriogenesis and vasculogenesis)"
222,1,"Rate of serious adverse events related to the procedure.|Rate of non-serious adverse events related to the procedure.|Time to Repair the injury|Local pain assessed by visual analog scale|Bone formation, measured by Computed tomography (mm)|Quality of life, measured by EuroQol-5D."
223,1,Number of treatment related-adverse events during the study period.|Comparison of National Institutes of Health stroke scale (NIHSS).|Comparison of modified Rankin scale (mRS).|Distinguish of EuroQol 5d (EQ-5D) between pre- and post-treatment 180 days.|Comparison of infarct size measured by brain MRI.
224,1,ALS Functional Rating Scale-Revised (ALSFRS-R)|ALS Cognitive Behavioral Scale (ALS-CBS)|Slow Vital Capacity (SVC)|Strength Testing with Hand Held Dynamometer (HHD)
225,1,"Number of participants with treatment-related adverse events as assessed by magnetic resonance imaging|Functional improvement in ASIA (American Spinal Injury Association) grade|Functional improvement regarding the AIS (ASIA Impairment Scale) scores (light touch, pin prik and motor force)|Improvements in sensorial mapping and neuropathic pain"
226,1,The quantity of mesenchymal stem cells present in the synovial fluid of patients with precollapse ON of the femoral head and postcollapse ON of the femoral head compared to patients without intraarticular hip pathology.
227,1,Incidence of local and systemic adverse events (AEs) and serious adverse events (SAEs) in Malian adults. (All arms)|Measurement of Anti-Pfs25 and Pfs230 IgG levels
228,1,Wound size change|Granulation tissue percentage|Pigmentation change|Presence of Exudate
229,1,Improvement of liver function in form of improvement in child score|Postpone or to overcome liver transplantation complications
230,1,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Assessment of the efficacy of injecting Wharton Jelly derived Mesenchymal Stem Cells by SHIM/IIEF/EHS questionnaire
231,1,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Assessment the efficacy of intracavernous injection measured by SHIM/IIEF/EHS questionnaire|Evaluation the efficacy of intracavernous injection measured by Dynamic Infusion cavernosometry test.
232,1,The change of integrity of nasal septum assessed by endoscopic examination|The change of nasal mucosal physiology assessed by olfactory test|The change of nasal mucosal physiology assessed by nasal mucociliary clearance time (MCT)|The change of nasal airway resistance assessed by rhinomanometry|The change of nasal obstruction assessed by acoustic rhinometry|The change of nasal obstructive symptom assessed by visual analogue scale (VAS)|The change of nasal symptom severity assessed by total nasal symptom score (TNSS)|Change from baseline in computed tomography (CT)
233,1,"Number of treatment related SAE's as assessed by CTCAE grades as defined in version 4.0|Efficacy: Post Implant Stent free period|Efficacy: Post Implant Tracheostomy free period|Efficacy: Mean Airway Diameter evaluations as captured by CT scans|Efficacy: Changes in lung function results using a combination of FEV1, FEF50 and PEFR results|Number of treatment related AEs as assessed by CTCAE grading version 4.0"
234,1,Disease free survival
235,1,Amount of dendritic cell-derived exosomes|Compositions of microRNA in the dendritic cell-derived exosomes
236,1,Number of participants with MYSTEP-score grade 3 and grade 2 (toxicity of MSC infusion)|Number of participants with occurrence of any severe adverse events (SAE)|Graft function after liver transplantation - Number of participants with abnormal liver tests|Individual need for immunosuppressive medication|Time to first biopsy-proven acute rejection (BPAR)|Immune monitoring: donor-specific antibodies (DSA)|Patient and graft survival at 1 and 2 years after liver transplantation
237,1,Knee Injury and Osteoarthritis Outcome Score|Numeric Pain Rating Scale|Patient Reported Outcome Measurement Information System Global Health Scores
238,1,closure of the fistula|complication
239,1,Incidence of adverse events|Change in left ventricular ejection fraction (LVEF)|Change in improvement of left ventricular (LV) systolic function as assessed by LVEF|LV end-systolic and end-diastolic volumes as determined by contrast-enhanced 2-dimensional(D)/3D echography|Cardiac death|Re-hospitalization after heart failure|Aborted death from an automatic implantable cardioverter defibrillator (AICD) firing|Nonfatal myocardial infarction|Revascularization
240,1,Evaluation of the safety and tolerability of the intra articular injection|Assessment of the efficacy of intra-articular injection of WJMSC
241,1,The change of serum creatinine elevation|The percentage of end-stage renal disease or death.
242,1,Evaluation of the safety and tolerability of the intra articular injection|Assessment of the efficacy of intra-articular injection of ATMSC
243,1,Number of participants with uterine niche|Change of uterine scar thickness|Change of uterine scar area|Number of participants with endometritis|Number of participants with wound infection|Immunoglobulin concentrations in breast milk and serum|Adverse events occurrence
244,1,Change from baseline modified Rodnan Skin score (mRSS) of hands at 12 weeks|Change from baseline Raynaud's condition score at 12 weeks|Change from baseline Visual Analog Score for pain the hands at 12 weeks|Changes from baseline mRSS (total) at 12 weeks|Change from baseline Kapandji score at 12weeks|Change from baseline Cochin hand function scale at 12 weeks|Change from baseline Systemic sclerosis HAQ at 12 weeks|Change from baseline peripheral vasculature at 12 weeks|Change from baseline finger circumference at 12 weeks
245,1,Part A (dose selection part): Dose Limiting Toxicities (DLTs)|Part B (expansion cohort): The 3-month objective response rate (ORR)|3-month objective response rate (ORR)|Best objective response rate|Disease Control Rate|Duration of response|ORR of injected and non injected lesions|Progression Free Survival (PFS)|Time To progression (TTP)|Overall Survival (OS)|Adverse Events reporting
246,1,iPSC caracterization from human fibroblast with MYT1L mutation
247,1,Comparing the number of side effects and the improvement on ASIA Impairment score between SCI patients receiving autologous AT-MSC vs BM-MSC.|Investigating the number of side effects in SCI patients receiving autologous BM-MSC.|Investigating the effectiveness of autologous BM-MSC in treating SCI patients.|Investigating the number of side effects in SCI patients receiving autologous AT-MSC.|Investigating the effectiveness of autologous AT-MSC in treating SCI patients.
248,1,"The incidence of any treatment-emergent serious adverse event (TE-SAE), defined as one or more of the following untoward medical occurrences within 30 days after infusion as assessed by the following:|Prevention of the illness caused by any influenza viral type/subtype in association with influenza like symptoms:|Changes from baseline between the LMSC and placebo cohorts as assessed by plasma cytokine levels:|Differences in rate of decline from Aging Frailty|Assessed by the Falls Efficacy Scale-International and Performance Oriented Mobility Assessment|PROMIS Short Form 20a questionnaire|PROMIS Mobility questionnaire|PROMIS Upper Extremity questionnaire|Short Form 36 questionnaire|IIEF questionnaire|SQOL-F questionnaire|Death from any cause"
249,1,"Circulating tumor cell (CTC) total number and epithelial-intermediate-mesenchymal ratio detected by CTC enrichment and FISH technique|Pathological findings (whether the patient has: 1.OC, organ confined; 2.EPE, extraprostatic extension; 3. SVI, seminal vesicle invasion; 4. LNI, lymph node invasion) during the radical prostectomy, confirmed by pathology section result|CTC total number and epithelial-intermediate-mesenchymal ratio detected by CTC enrichment and FISH technique|Prostate specific antigen (PSA) level measurement using peripheral venous blood|PSA level measurement using peripheral venous blood|Radiological evaluation including isotope bone scanning and pelvic magnetic resonance imaging (MRI) scan"
250,1,Safety of using allogenic ASC assessed by any adverse events
251,1,Vision recovery (Corrected Distance Visual Acuity)|Corneal Thickness|Topopgraphy|Anterior segment Optical Coherence Tomography|Slit Lamp Observation|refraction measurement
252,1,Death or shunt operation|ventricular dilatation|Death
253,1,Change in organ function: chronic liver failure-sequential organ failure assessment (CLIF-SOFA)|Child-Pugh score as a marker of liver function|Model for End-stage Liver Disease (MELD) score as a marker of liver function|serum bile acids as a surrogate marker of liver function|ammonia levels as a surrogate marker of liver function|Lactate levels as a surrogate marker of liver function|Hepatic portal venous gradient (HPVG)|Endothelial function measured by nitric oxide levels|Endothelial function measured by von Willebrand factor levels|Renal function measured by serum creatinine|Renal function measured by Blood urea nitrogen (BUN)|urine neutrophil gelatinase-associated lipocalin (NGAL) as a surrogate marker of renal function|Inflammatory response|Transcriptome analysis|Number of participants alive|Number of participants with treatment-related adverse events as assessed by World Health Organization (WHO) classification for acute and subacute toxicity|Change in chronic liver failure C acute on chronic liver failure score (clif C ACLF)
254,1,Phase II: Determine safety and effficacy of E7 TCR cells plus aldesleukin|Phase I: Determine a safe dose for E7 TCR cells plus aldesleukin|To assess progression-free survival
255,1,change in bone volume
256,1,Prognostic biological markers via this prospective study.
257,1,"Dose limiting toxicity (DLT), triggered by occurrence in the first 24 hours after hMSC infusion of grade ≥3 infusion-related allergic toxicities|Incidence and severity of adverse events|Number of pulmonary exacerbations|Diary reports (Cystic Fibrosis Respiratory Symptom Diary (CFRSD))|Changes in subject reported symptoms as captured by the Respiratory Signs and Symptoms Questionnaire (RSSQ) from Baseline (Visit 2) Day 1 to Baseline (Visit 2) Day 2, Visits 3, 4, 5, 6 and 7 and at times when a pulmonary exacerbation is being considered|Changes in physical examination|Changes in vital signs including oxygen saturation checked throughout infusion|Changes in spirometry (FEV1 %, FEV1 (Liters), FEF25-75) determined 30 minutes, 4 hours, and 24 hours after completion of infusion and from Baseline (Visit 2) Day 1 to Visits 3, 4, 5, 6 and 7|Change in sputum quantitative microbiology (bacterial colony forming units between Baseline to Day 7 and Day 28)|Changes in hematology, comprehensive chemistry, ESR, hs-CRP, and urinalysis results|Change in blood inflammatory biomarkers from Baseline to Day 7 and Day 28|Change in sputum inflammatory biomarkers from Baseline to Day 7 and Day 28"
258,1,The match rate of PD-L1 protein expression in tumor tissue and PD-L1 mRNA expression in pExo before radiotherapy.|The match rate of PD-L1 protein expression in tumor tissue and PD-L1 mRNA expression in pExo after radiotherapy.|The best radiotherapy-division which can make PD-L1 express more.|The best timing of radiotherapy which can make PD-L1 express more.|Correlation between PD-L1 expression through radiation-induced and the ORR.|Correlation between PD-L1 expression through radiation-induced and the radiation pneumonitis.
259,1,"SOFA score|Number of living days without catecholamines|Number of living days without mechanical ventilation|Number of living days without dialysis|Duration of residence time in recovery unit|Mortality, across all causes|Administration safety (i.e. side effects)"
260,1,Incidence of Treatment Related Serious Adverse Events (TE-SAEs)|EPC-CFU levels|CRP Marker Levels|Circulating Angiogenic Factor Levels|Flow Mediated Diameter Percentage (FMD%)|Circulating Inflammatory Marker Levels
261,1,The number of subjects with treatment-related adverse events as assessed by CTCAE version 4.03|The reduction ratio of scoring atopic dermatitis (SCORAD) index as contrasted with baseline value|The variation of SCORAD index as contrasted with baseline value|The variation of each index score of SCORAD index as contrasted with baseline value|The variation of the degrees of disease as contrasted with baseline value|The variation of investigator's global assessment (IGA) as contrasted with baseline value|The variation of eczema area and severity index (EASI) total score as contrasted with baseline value|The variation of total immunoglobulin E (IgE) in serum as contrasted with baseline value|The variation of total prostaglandin E2 (PGE2) in serum as contrasted with baseline value|The variation of total eosinophil cationic protein (ECP) in serum as contrasted with baseline value|The variation of total Chemokine ligand 17 (CCL17) in serum as contrasted with baseline value|The variation of total Chemokine ligand 27 (CCL27) in serum as contrasted with baseline value
262,1,The match rate of PD-L1 protein expression in cancer tissue and PD-L1 mRNA expression in pExo.|The match rate of PD-L1 protein expression and PD-L1 mRNA in tumor tissue.
263,1,Changes in insulin pancreatic reserve|Changes in insulin requirement
264,1,Concentration of Platelet Extracellular Vesicles/ml|Concentration of Extracellular Vesicles Exposing Fibrinogen|Concentration of Extracellular Vesicles Exposing Phosphatidylserine|Concentration of Extracellular Vesicles From Endothelial Cells|Concentration of Extracellular Vesicles From Leukocytes
265,1,Number of Adverse Events|Changes from the baseline in ADAS-Cog (Azheimer's disease Assessment Scale - Congintive Subscale) Score|Changes from the baseline in K-MMSE (Korean-Mini Mental Status Examination) Score|Changes from the baseline in GDS (Global Deterioration Scale)|Changes from the baseline in CDR (Clinical Dementia Rating) Score|Changes from the baseline in K-IADL (Korean Instrumental Activities of Daily Living) Score|Changes from the baseline in CGA-NPI (Caregiver Administered-Neuropsychiatric Inventory) Score|Change in CIBIC (Clinician Interview Based Impression of Change)-plus|Changes from the baseline in SF-36|Changes in Amyloid Beta and Tau amount (pg/mL) in CSF (Cerebrospinal fluid)|Change in Brain MRI (Magnetic Responance imaging)|Change from the baseline of CMRglc (cerebral metabolic rate for glucose ) analyzed with SPM (statistical parametric mapping) with Brain FDG PET imaging|Changes from the baseline of Amyloid amount analyzed with SPM (statistical parametric mapping) with amyloid PET imaging|Changes of band power in qEEG (Quantitative electroencephalography)
266,1,number of nasal mesenchymental stem cells
267,1,"Number of adverse events as a measure of safety and tolerability of a single dose of FAB117-HC when administered by intramedullary injection into the injured spinal cord|Changes in neurological function using the International Standards for Neurological Classification of SCI (ISNCSCI) scale, examinations at 24h, 72h, 7d, 14d, 28d, 90d and 360 days after injection of FAB117-HC|Changes in the functional assessment of Spinal Cord Independence Measure (SCIM III)|Changes in Somatosensory-Evoked Potentials (SSEP) electrophysiological assessment test.|Changes in Motor-Evoked Potentials (MEP) electrophysiological assessment test"
268,1,Safety|Change in Amyotrophic Lateral Sclerosis Functional Rating Scale Revised (ALSFRS-R)|Change in Handheld dynamometry|Change in Electrical Impedance Myography|Change in Forced Vital Capacity (FVC)|Change in Isometric Strength|Changes in morphometric parameters of MRI of encephalon and spinal cord
269,1,"number of adverse events|safety lab tests, physical examination, ECG, vital signs|variation of Cytokine, PASI, BSA"
270,1,"Number of Participants With Vaccine Related - Grade 3 or Greater Reactogenicity and Adverse Events as a Measure of Safety and Tolerability|Number of Participants With Human Immunodeficiency Virus (HIV) Ribonucleic Acid (RNA) less than (<)50 copies per milliliter (copies/ml) at 24 Weeks After Antiretroviral (ARV) Analytical Treatment Interruption (ATI)|Cell-Associated HIV RNA in Total Cluster of Differentiation (CD)4+ Thymus (T) Cells|Cell-Associated HIV RNA in the Memory CD4 Subsets|Cell-Associated Human Immunodeficiency Virus Deoxyribonucleic Acid (HIV DNA) (total, integrated and 2 Long Terminal Repeats [LTR] Circles) in Total CD4+ T Cells|Cell-Associated HIV DNA (Total, Integrated and 2 LTR Circles) in the Memory CD4 Subsets|Quantification of Latent HIV in Total CD4+ T Cells Using a Viral Outgrowth Assay|Quantification of Latent HIV in Memory CD4+ T Cells Using a Viral Outgrowth Assay|Quantification of the Size of the Inducible Viral Reservoir in Total CD4+ T Cells|Quantification of the Size of the Inducible Viral Reservoir in Memory CD4+ T Cells|Single Copy HIV RNA in Samples With HIV RNA <50 copies per milliliter (copies/ml) pre and post Antiretroviral (ARV) Analytical Treatment Interruption (ATI)|Frequency of Epitope Recognition by Enzyme-Linked Immunospot (ELISPOT)|Magnitude of Epitope Recognition by Enzyme-Linked Immunospot (ELISPOT)|Breadth of Epitope Recognition by Enzyme-Linked Immunospot (ELISPOT)|Polyfunctionality of Thymus (T) cell Responses|Number of Binding Antibody to Envelope (Env) Regions|Breadth of antibody neutralization across different HIV-1 strains from different clades will assess immunogenicity as measured in the TZM-bl neutralization assay"
271,1,Incidence and severity of treatment emergent adverse events [safety and tolerability]|Incidence and severity of serious adverse events deemed possibly related to CYP-001 [safety and tolerability]|Complete Response by Day 28|Partial Response by Day 28|Overall Survival at Day 28|Complete Response by Day 100|Partial Response by Day 100|Overall Survival at Day 100
272,1,Maximum Tolerated Dose (MTD) of VSV-IFNβ-NIS Monotherapy and Combination Therapy
273,1,all kinds of adverse events which occur during the clinical sutdy|ratio of patients who is applicable to CDAI<150|ratio of patients who reduce CDAI over 70 as contrasted witd baseline(V7)
274,1,"to study the impact of protein deficits Nox2 and p22phox, in the physiopathology of neurons from inducible pluripotent bone marrow cells (iPSC)|To study the impact of protein deficits Nox2 and p22phox on cytochrome b558 synthesis process of phagocytes from inducible pluripotent bone marrow cells ( iPSC ).|To study the impact of protein deficits Nox2 and p22phox , at the physiology of fibroblasts and their transformation into myofibroblasts|Constitute cellular models of different types of CGD for future physiopathological studies and therapeutic trials"
275,1,Complete remission
276,1,Serious Adverse Events related to the treatment|Revised ALS Functional Rating Scale (ALSFRS-R)
277,1,"Number of subjects with adverse events (AE), including serious adverse events (SAE).|Evaluation of the persistence of genetically modified T cells|Measurement of RCL in genetically modified T cells.|Assessment of dose limiting toxicities to determine optimally tolerated dose range|Proportion of subjects with a confirmed Complete Response (CR) and/or Partial Response (PR).|Interval between the date of first T cell infusion dose and first documented evidence of CR or PR.|Interval between the date of first documented evidence of CR or PR until first documented disease progression or death due to any cause.|Interval between the date of first documented evidence of SD until first documented disease progression or death due to any cause.|Interval between the date of first T cell infusion and the earliest date of disease progression or death due to any cause|Interval between the date of first T cell infusion and date of death due to any cause.|Number and % of subjects having any Long Term Follow Up Adverse Events (AEs)"
278,1,Number of Participats Showing Efficacy (Functionality)|Change in Pulpal Response|Change in Apical Lesion Size|Pain to Percussion|Numbers of Participants With Adverse Event|Pulp Regeneration
279,1,Evaluation of Pain Reduction measured by VAS scaling|Evaluation of the Physical Activity measure by WOMAC scoring|Evaluation the resurfacing of articular cartilage by MRI
280,1,The supraspinatus tendon re-rupture rate|visual analogue scale|ASES score- American Shoulder and Elbow Surgeons Standardized Shoulder Assessment Form|Constant score
281,1,Return of menstrual cycle|Pregnancy|FSH levels|Follicular function|Endometrium thickness
282,1,A reduction in the marginal bone levels|Radiographic changes in the marginal bone levels|Reduction in the thickness of the buccal/lingual bone|Changes in the alveolar mucosa|Changes in the width of keratised mucosa
283,1,Changes in Motor Performance.|Motor function studies|Specific white matter tract analysis using MRI
284,1,Safety- Incidence of severe adverse events|Safety- Absence of PRA status change or local inflammation|Efficacy- rate of biventricular conversion|Efficacy- improvement of LV end diastolic pressure|Efficacy- improvement of LV mass/volume ratio
285,1,Overall Survival（OS）|Progression - free survival（PFS）|Objective Response Rate (ORR)|Disease Control Rate (DCR)|Quality of Life (QoL)
286,1,Occurrence of study related adverse events|Anti-tumor responses to tanCART19/20 cell infusions
287,1,Incidence of Infusion reactions|Incidence of Infections
288,1,Characterization of the ncRNAs|Overall survival|Progression-free survival
289,1,Radiographic and MRI assessment in progression|Reduction of pain using VAS|Cost analysis based on length of hospital stay
290,1,Raynaud's Condition Scale|Hand Visual Analogue Scale|Colchin Hand Function Scale|Kapandji Score (Ranging 0 to 10) - Dominant Hand|Kapandji Score (Non-dominant Hand)|Disease-related QOL (Quality of Life) : EuroQol-5 Dimensions Time Trade-off (EQ-5D TTO)|Disease-related QOL (Quality of Life) : EuroQol Visual Analog Scale (EQ VAS)|Disease-related QOL (Quality of Life) : Health Assessment Questionnaire (HAQ)|The Degree of Hand Edema (Right)|The Degree of Hand Edema (Left)|Changes of Nailfold Capillary Microscopic Findings (Irregularly Enlarged Capillaries)|Changes of Nailfold Capillary Microscopic Findings (Giant Capillaries)|Changes of Nailfold Capillary Microscopic Findings (Hemorrhages)|Changes of Nailfold Capillary Microscopic Findings (Loss of Capillaries)|Changes of Nailfold Capillary Microscopic Findings (Disorganization of the Vascular Array)|Changes of Nailfold Capillary Microscopic Findings (Capillary Ramifications)
291,1,"Incidence of toxicity|Dose-limiting toxicity (DLT) rates|Maximum concentration (Cmax) of autologous human anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ T-lymphocytes (huJCAR014) cells in blood|Time to maximum concentration (Tmax), of huJCAR014 cells in blood|Area under the curve of huJCAR014 cells in blood|Presence of huJCAR014 cells in bone marrow|Complete response (CR) rate|Partial response (PR) rate|Objective response rate (ORR)|Duration of response (DOR)|Progression-free survival (PFS)|Event-free survival (EFS)|Overall survival (OS)"
292,1,Determine the levels of circulating EVs|Determine whether these EVs contain islet-specific antigens|Mutivariate analysis will be performed with patient parameters and EV parameters
293,1,Effect of mesenchymal stem cells on overall survival in haploidentical stem cell transplantation|Effect of mesenchymal stem cells on graft versus host disease incidence in haploidentical stem cell transplantation|Effect of mesenchymal stem cells on graft failure incidence in haploidentical stem cell transplantation
294,1,"Differences in the levels and mutations of circulating exosome RNA from patients with or without lung metastasis.|Differences in the classic cell signal pathway mutations of circulating exosome RNA from patients with or without lung metastasis.|Differences in the therapeutic targets mutations of circulating exosome RNA from patients with or without lung metastasis.|The correlation between circulating exosome RNA mutation levels and 3-year disease-free survival (DFS), progression-free survival (PFS), lung metastases.|The correlation between specific circulating exosome RNA mutations and 3-year disease-free survival (DFS), progression-free survival (PFS), lung metastases.|The roles of circulating exosome micro-RNA mutations on regulation of circulating exosome RNA.|The mutations of circulating exosome RNA from patients without metastasis."
295,1,Efficacy
296,1,Cytokine/Chemokine Profile|Mucositis Assessed Using WHO Classification|Objective Response Rate|Exosome Profile|Incidence of Toxicities
